# P,H1,UGRD1,VGRD1,H2,UGRD2,VGRD2,H3,UGRD3,VGRD3,H4,UGRD4,VGRD4
5.000000000000000000e+04,4.972690484276624375e+03,1.227136352539062614e+01,-9.860498046875000311e-01,4.973296197047976420e+03,1.201136352539062457e+01,-1.686049804687500098e+00,4.971680962991038541e+03,1.191136352539062493e+01,-5.660498046874999911e-01,4.971882867248155890e+03,1.164136352539062536e+01,-1.086049804687500009e+00
5.500000000000000000e+04,4.388475863163133909e+03,1.061521240234375085e+01,-1.116616210937499964e+00,4.389172119777518674e+03,1.048521240234375007e+01,-1.556616210937500133e+00,4.387605542395151133e+03,1.068521240234374936e+01,-1.026616210937500107e+00,4.388127734855940616e+03,1.069521240234375092e+01,-1.646616210937499991e+00
6.000000000000000000e+04,3.820375985341301202e+03,1.059803955078124993e+01,-1.941408691406250053e+00,3.820078689080546155e+03,1.059803955078124993e+01,-2.081408691406250178e+00,3.818592207776769555e+03,1.089803955078125064e+01,-1.681408691406250044e+00,3.818294911516014508e+03,1.073803955078125050e+01,-1.861408691406249982e+00
6.500000000000000000e+04,3.262707897786522608e+03,1.042296386718749979e+01,-2.402070312500000249e+00,3.263083700752921686e+03,1.009296386718749972e+01,-2.282070312500000142e+00,3.262958433097454872e+03,9.922963867187499787e+00,-1.642070312500000018e+00,3.262707897786522608e+03,9.532963867187500995e+00,-1.522070312500000133e+00
7.000000000000000000e+04,2.731106541826560715e+03,1.215522399902343764e+01,-2.591435546875000107e+00,2.732868094012162601e+03,1.145522399902343835e+01,-2.631435546875000142e+00,2.732660852578562753e+03,1.053522399902343842e+01,-1.971435546875000000e+00,2.733697059746563355e+03,9.955223999023438353e+00,-2.051435546875000071e+00
7.500000000000000000e+04,2.220070212355013609e+03,1.092139648437500021e+01,-2.117397460937500142e+00,2.220237148153091312e+03,1.083139648437500036e+01,-2.277397460937499840e+00,2.219903276556936362e+03,1.080139648437500099e+01,-1.807397460937500089e+00,2.219152065465587384e+03,1.128139648437499964e+01,-2.167397460937499964e+00
8.000000000000000000e+04,1.742885614675194120e+03,1.063324218750000050e+01,-2.401083984375000036e+00,1.742562533690121427e+03,1.091324218749999986e+01,-2.591083984374999982e+00,1.741076361158788131e+03,1.038324218750000050e+01,-2.101083984375000213e+00,1.741140977355802534e+03,1.085324218749999936e+01,-2.521083984375000142e+00
8.500000000000000000e+04,1.283337909340541955e+03,8.961701660156249361e+00,-1.753896331787109464e+00,1.282446662185885771e+03,9.241701660156250497e+00,-2.373896331787109570e+00,1.281930676991084511e+03,8.961701660156249361e+00,-1.633896331787109357e+00,1.281696138266175240e+03,9.551701660156250995e+00,-1.933896331787109402e+00
9.000000000000000000e+04,8.360331446859443076e+02,8.075270996093749432e+00,-8.743750000000000133e-01,8.358518740521487871e+02,8.105270996093750568e+00,-9.843750000000000000e-01,8.353986974676599857e+02,7.445270996093750426e+00,-4.743749999999999911e-01,8.351872150615652117e+02,7.905270996093750391e+00,-1.254375000000000018e+00
9.250000000000000000e+04,6.172802027246291345e+02,8.100280761718750000e+00,-4.821435546875000311e-01,6.171469515329956721e+02,8.410280761718750497e+00,-4.521435546875000044e-01,6.170803259371790546e+02,6.820280761718749751e+00,-3.621435546874999800e-01,6.171025344691179271e+02,6.910280761718750497e+00,-8.621435546875000355e-01
9.500000000000000000e+04,4.020630164264823065e+02,8.441572265625000071e+00,2.324560546874999967e-01,4.021351101113133382e+02,9.181572265625000284e+00,6.524560546875000089e-01,4.025965096942320542e+02,6.211572265625000533e+00,-6.754394531250000611e-02,4.025676722202996984e+02,5.801572265625000391e+00,-1.754394531249999986e-02
9.750000000000000000e+04,1.913185821690810542e+02,8.957389831542968750e+00,1.486113281249999973e+00,1.913049195743053872e+02,9.427389831542969389e+00,2.226113281249999964e+00,1.914688707116129933e+02,5.427389831542968501e+00,1.261132812500000144e-01,1.912366066004272795e+02,4.477389831542969212e+00,1.096113281250000071e+00
1.000000000000000000e+05,-1.585098941904887582e+01,6.407390136718750462e+00,2.419445800781250266e+00,-1.585324555634645449e+01,5.997390136718750320e+00,2.709445800781249858e+00,-1.585719379661721540e+01,2.827390136718749947e+00,4.194458007812499889e-01,-1.585324555634645449e+01,1.957390136718750062e+00,9.994458007812500044e-01
1.000000000000000000e+05,-1.585098941904887582e+01,6.407390136718750462e+00,2.419445800781250266e+00,-1.585324555634645449e+01,5.997390136718750320e+00,2.709445800781249858e+00,-1.585719379661721540e+01,2.827390136718749947e+00,4.194458007812499889e-01,-1.585324555634645449e+01,1.957390136718750062e+00,9.994458007812500044e-01
1.000000000000000000e+05,-1.585098941904887582e+01,6.407390136718750462e+00,2.419445800781250266e+00,-1.585324555634645449e+01,5.997390136718750320e+00,2.709445800781249858e+00,-1.585719379661721540e+01,2.827390136718749947e+00,4.194458007812499889e-01,-1.585324555634645449e+01,1.957390136718750062e+00,9.994458007812500044e-01
